OBJECTID_1,GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID,FIPS,County_Name,Percent_Pop__25_3,Percent_Pop__100_20,Percent_Pop__Fiber,Up_Down_Ratio,Hhld__Density,Percent_Age_Home,Percent_Pop__No_Prov_,Percent_Pop__DSL_Only,Availability,Percent_Bbnd__Sub,Percent_Ages_18_34,Percent_Bach_,Percent_Hhlds__Children,Percent_Work_from_home,Percent_Ages_65_and_over,Percent_No_Int__Access,Percent_No_Comp__Devices,Percent_Poverty,Percent_Disability,Percent_Lim__English,Adoption,YEAR,Shape__Area,Shape__Length
1,37001020100,Census Tract 201,4511687,0,+36.0914774,-79.4455986,1,37001020100,Alamance,100,100,0,0.0426666666666667,1041.92181199443,0.693069306930693,0,0,81.3427172550077,44.6831955922865,21.273166800967,32.6086956521739,27.6584022038567,3.84387936132466,17.4858984689766,30.8539944903581,23.4710743801653,25.5669546436285,22.7504700510341,0.826446280991736,26.1576089652358,2017,48561239.2008057,34848.007205639
2,37001020200,Census Tract 202,3454835,0,+36.0919322,-79.4195578,2,37001020200,Alamance,100,100,0,0.0426666666666667,1140.24690228571,2.9379760609358,0,0,81.8324579693556,43.129520052597,20.9420289855072,7.44203440538519,34.9112426035503,0.426666666666667,10.5555555555556,43.129520052597,21.2360289283366,29.5856554397868,19.8451113262343,8.34976988823143,19.0889473446999,2017,37185906.6430664,27407.4255926318
3,37001020300,Census Tract 203,11159356,225028,+36.0976987,-79.3964910,3,37001020300,Alamance,100,100,3.20293109561518,0.2,639.30146843815,0.877742946708464,0,0,82.2776871681431,60.1451905626134,22.3428143712575,7.68613285169577,36.043557168784,1.90415741034592,17.4151696606786,28.1306715063521,16.9872958257713,22.8895257946847,12.402292860865,13.4664246823956,25.2489723795646,2017,122535471.880249,51448.1627258294
4,37001020400,Census Tract 204,11558147,268108,+36.1207861,-79.4322349,4,37001020400,Alamance,100,100,16.3392578734019,0.05,534.887218537436,2.46913580246914,0,0,82.9492319053625,44.3653121072476,26.8837897853442,9.56065901148278,38.1231671554252,1.63291966035271,12.6424870466321,36.3636363636364,19.8994553833264,33.6314847942755,13.7185185185185,6.74486803519062,25.4430146878121,2017,127293126.22644,60079.2116337355
5,37001020501,Census Tract 205.01,7138143,78069,+36.1220609,-79.4795203,5,37001020501,Alamance,100,100,24.8035620743845,0.2,549.981644681859,6.57418576598311,0,0,85.6486233131945,62.664907651715,23.3691164327002,29.4639088222879,29.4195250659631,1.60692212608158,16.2675474814203,21.1081794195251,11.7414248021108,29.7896213183731,13.4048995320672,9.43271767810026,30.015062624835,2017,77672174.4963379,47969.6965054041
6,37001020502,Census Tract 205.02,5421436,51293,+36.1143127,-79.4516953,6,37001020502,Alamance,100,100,13.5643564356436,0.2,659.746256982329,6.81672025723473,0,0,84.4907833502413,50.3982621288921,26.6266266266266,10.2432778489117,42.8674873280232,1.25570776255708,9.43443443443443,36.2056480811006,23.8233164373642,30.0978179082017,13.9593271403465,2.17233888486604,30.5271294318925,2017,58906041.3233643,37088.4484228938
7,37001020601,Census Tract 206.01,5586057,31230,+36.0922418,-79.4903918,7,37001020601,Alamance,100,100,56.6877152698048,0.2,607.902709688485,0,0,0,88.4896145202117,83.5616438356164,13.7851239669421,52.7823920265781,25.6468797564688,5.10551395507148,29.3553719008264,8.44748858447489,8.44748858447489,0.831117021276596,11.8347107438017,0,45.2635538971671,2017,60461236.6325684,34117.6444299604
8,37001020602,Census Tract 206.02,2786604,40195,+36.0958040,-79.4621793,8,37001020602,Alamance,100,100,1.92901234567901,0.0426666666666667,1170.45835222215,0,0,0,81.6350730827882,60.2553870710295,16.1658425256752,40.0956937799043,22.1069433359936,4.54176804541768,26.1696462533283,18.9146049481245,11.9712689545092,5.12214342001576,20.1106282101936,2.39425379090184,33.096605944707,2017,30426177.8900146,29540.0608323032
9,37001020701,Census Tract 207.01,6799375,16670,+36.0698004,-79.4810886,9,37001020701,Alamance,100,100,38.0207231972933,0.2,733.643982889195,0.50251256281407,0,0,86.5066686420504,60.539979231568,22.9079008882655,31.0982658959538,19.7819314641745,1.08439415370108,23.4689107059374,26.5835929387331,22.7933541017653,6.77487649964714,19.9717713479181,0,29.3622108596353,2017,73363209.9035645,38442.3688423128
10,37001020702,Census Tract 207.02,7572080,21301,+36.0624647,-79.4583523,10,37001020702,Alamance,100,100,22.1794612112619,0.2,769.259611638106,5.57532621589561,0,0,85.4695155284181,60.8714984437528,27.8761061946903,16.2690523525514,22.3654957759004,0.790861159929701,13.2743362831858,23.7883503779458,13.9172965762561,21.3716814159292,10.5088495575221,7.06980880391285,31.2666881210155,2017,81729631.9550781,44109.6227788781
